,id_0,0|order_make,0|remove_obstacle,0|ad_opened,0|ad_finished,0|energy,0|energy_get,0|coin_cost,0|coin_get,0|ruby_cost,0|ruby_get,label
5288,fbff59055eba59e8,2.0,8.0,0.0,0.0,91.0,50.0,0.0,352.0,0.0,20.0,0
1139,355c7bfbf82dc3cc,10.0,52.0,2.0,1.0,52.0,333.0,1040.0,1120.0,0.0,36.0,0
1221,39180c332a3cb413,14.0,129.0,28.0,14.0,1.0,1048.0,2015.0,2017.0,53.0,63.0,0
2034,5d7334d9bbbe7009,7.0,23.0,2.0,1.0,85.0,140.0,0.0,598.0,15.0,22.0,0
319,0f8b4a181fef0783,2.0,8.0,0.0,0.0,92.0,50.0,0.0,339.0,0.0,20.0,0
6105,b59c1894aabba64f,13.0,66.0,0.0,0.0,15.0,375.0,1150.0,1390.0,25.0,54.0,1
4065,baa78f18713c116e,10.0,46.0,12.0,6.0,2.0,75.0,35.0,906.0,1.0,31.0,0
4772,deece181baaa2579,19.0,94.0,0.0,0.0,2.0,727.0,1360.0,1769.0,60.0,63.0,0
1319,2a00b041e8f13ded,17.0,79.0,14.0,7.0,2.0,637.0,1460.0,1506.0,38.0,54.0,1
4834,9EAEDFC8-62E0-4ABB-94C9-8DE2BBAAAF15,6.0,75.0,6.0,3.0,4.0,575.0,700.0,1384.0,8.0,56.0,1
3580,7339b28578ed7fe1,9.0,59.0,0.0,0.0,40.0,345.0,150.0,1266.0,33.0,54.0,1
6225,ba1403379ca014ec,13.0,59.0,0.0,0.0,21.0,395.0,0.0,1320.0,53.0,56.0,1
768,24825711e54f71f8,6.0,40.0,0.0,0.0,7.0,165.0,0.0,1039.0,0.0,36.0,0
3944,b52bb8baca1e8df9,11.0,28.0,0.0,0.0,6.0,90.0,0.0,815.0,3.0,32.0,0
50,01625531-02E2-43FB-929C-A5B9B756A26D,6.0,22.0,0.0,0.0,8.0,50.0,0.0,634.0,0.0,21.0,1
8008,fcb5eafd5e5f47bb,10.0,107.0,8.0,4.0,19.0,800.0,1500.0,1799.0,62.0,78.0,1
3245,996cdbc1b491b102,17.0,49.0,0.0,0.0,4.0,265.0,900.0,1160.0,24.0,44.0,0
2009,5c1b65d1138ea4e9,8.0,26.0,2.0,1.0,7.0,75.0,0.0,858.0,36.0,41.0,0
4188,c0c2b4bc56bb458c,4.0,20.0,0.0,0.0,25.0,50.0,0.0,491.0,0.0,20.0,0
3739,7841e9542753f4e9,2.0,8.0,0.0,0.0,91.0,50.0,0.0,352.0,0.0,20.0,1
1464,4432152A-3CD5-4CC8-A1E0-72C97FC29A3A,2.0,14.0,0.0,0.0,49.0,50.0,0.0,363.0,0.0,20.0,0
4662,955b6e10a0bcb834,11.0,78.0,6.0,3.0,3.0,485.0,0.0,1401.0,7.0,154.0,1
1220,279010eb989a4522,7.0,38.0,1.0,0.0,17.0,165.0,0.0,840.0,2.0,31.0,1
