id_0,order_make,remove_obstacle,ad_opened,ad_finished,energy_get,coin_cost,coin_get,ruby_cost,ruby_get,label
83C9902E-F355-4B02-B82D-FC81D3324C48,6.0,38.0,0.0,0.0,165.0,70.0,904.0,11.0,44.0,0
B160CC85-3918-4AFA-8EC5-B908AE0850DF,23.0,119.0,0.0,3.0,675.0,700.0,1781.0,17.0,96.0,1
368307063550ad48,11.0,60.0,0.0,6.0,415.0,75.0,1347.0,0.0,48.0,1
e96fd5f162fdd375,80.0,160.0,10.0,9.0,1060.0,2910.0,3545.0,80.0,103.0,0
bcd64c64ec0c5505,0.0,3.0,0.0,0.0,0.0,0.0,225.0,0.0,5.0,0
6358911b441fae23,5.0,39.0,0.0,0.0,265.0,0.0,850.0,0.0,33.0,0
090378EC-3E66-4B46-9D39-626FFCF0C71A,41.0,231.0,68.0,33.0,1865.0,2760.0,3032.0,2.0,90.0,1
50cabeb04863e8cd,43.0,142.0,25.0,18.0,1055.0,4170.0,4558.0,335.0,621.0,1
9a0f22c6fa59ed96,2.0,6.0,0.0,0.0,25.0,0.0,302.0,0.0,15.0,1
afa4683b846dcc6e,1.0,3.0,0.0,0.0,25.0,0.0,119.0,0.0,10.0,0
6d085ff4c44f8d28,79.0,208.0,357.0,146.0,2240.0,6940.0,6737.0,567.0,672.0,1
685a8d94c65ac8bb,26.0,176.0,30.0,26.0,1316.0,3285.0,3342.0,146.0,421.0,1
39D985CC-EA33-4D41-8A82-C26F3755C4AF,36.0,204.0,0.0,0.0,1386.0,2205.0,2477.0,121.0,135.0,0
346cfdd8aabf0700,20.0,49.0,2.0,1.0,445.0,0.0,1395.0,6.0,53.0,1
deb787448f41ce0c,130.0,374.0,152.0,124.0,2945.0,6630.0,7370.0,1539.0,1657.0,0
74f5cbacaa18fb8d,42.0,135.0,2.0,2.0,893.0,1995.0,2413.0,74.0,113.0,1
cd86060803fbc0b3,8.0,74.0,0.0,0.0,295.0,0.0,1304.0,0.0,45.0,0
31CE48CE-0B18-4FAD-B479-7F9DCBDE9E18,1.0,7.0,0.0,0.0,25.0,0.0,297.0,0.0,15.0,0
bee93ace3811bdef,57.0,228.0,6.0,40.0,1820.0,6000.0,6299.0,506.0,603.0,1
3b053f7b2a8369f8,6.0,38.0,0.0,0.0,75.0,0.0,733.0,0.0,33.0,0
cc39db8b9ca084ec,4.0,21.0,0.0,0.0,50.0,0.0,613.0,0.0,20.0,0
7ef92da4aff8ded5,5.0,41.0,0.0,0.0,165.0,0.0,1185.0,35.0,46.0,0
2dee8b51cc42f3a2,32.0,158.0,0.0,0.0,425.0,350.0,1825.0,53.0,59.0,0
ab853c60b7717bed,25.0,132.0,13.0,6.0,875.0,2305.0,2325.0,91.0,117.0,0
9c41b7288d948fcf,2.0,5.0,0.0,0.0,25.0,0.0,272.0,0.0,15.0,0
e705bdf985170a42,20.0,131.0,10.0,5.0,905.0,1750.0,2242.0,114.0,211.0,0
95A61DDB-44F7-4DD9-B1FE-41E1C3ABD80C,33.0,162.0,0.0,0.0,1036.0,2255.0,2298.0,115.0,133.0,1
3e7ddc16e50a3e45,9.0,49.0,0.0,1.0,165.0,0.0,1071.0,0.0,34.0,0
5ad3cf32c4e69fe5,0.0,3.0,0.0,0.0,0.0,0.0,216.0,0.0,5.0,0
9a39efaf3d25b163,20.0,101.0,0.0,0.0,535.0,1560.0,1858.0,50.0,175.0,1
212e3fa93f9a72ce,98.0,414.0,0.0,7.0,2118.0,7515.0,7545.0,462.0,462.0,1
e2743a6f3b7f48b0,6.0,23.0,0.0,0.0,50.0,0.0,445.0,1.0,20.0,0
F0E8CC66-5913-4F4B-8888-D05B6D53491D,15.0,67.0,2.0,1.0,325.0,0.0,1383.0,53.0,87.0,0
e778a7aed5144362,14.0,109.0,2.0,1.0,845.0,1585.0,1733.0,5.0,56.0,1
caadb15ad5b8cec7,3.0,9.0,0.0,0.0,50.0,0.0,479.0,0.0,21.0,1
1b92286030c51fcc,4.0,11.0,0.0,0.0,50.0,0.0,486.0,3.0,20.0,0
F7A67465-DD76-4D59-898F-EEC78A254DFD,9.0,71.0,0.0,9.0,577.0,735.0,831.0,144.0,73.0,1
68176922270ab35a,125.0,433.0,68.0,35.0,3112.0,9240.0,11482.0,3880.0,5626.0,1
D0E304C6-9A0E-47BC-B3E5-2525CEF9E2A0,6.0,44.0,0.0,0.0,205.0,0.0,1034.0,7.0,44.0,1
50898c5de85a02d2,49.0,122.0,6.0,12.0,1185.0,3500.0,3954.0,286.0,789.0,1
9664b441b240fdab,20.0,142.0,0.0,14.0,1111.0,1805.0,2058.0,32.0,77.0,1
6dccbaca3a320bd9,7.0,46.0,0.0,7.0,205.0,0.0,1053.0,25.0,44.0,1
dd298147cf91f36c,38.0,174.0,45.0,24.0,1135.0,2080.0,2811.0,75.0,104.0,1
0A1EA2DB-0DBD-4F3D-8827-06395330EF35,11.0,61.0,0.0,0.0,355.0,0.0,1348.0,0.0,46.0,0
9e16a73b2a2f2fbf,14.0,73.0,0.0,0.0,499.0,870.0,1269.0,35.0,46.0,1
